Year,Location,Type,Parameter,Df,Sum.Sq,Mean.Sq,F.value,Pr..F.,Significance,errorrxc_ms,rxc_f,rxc_significance,fprob,method
2019,Preston,STD,Whole_Plot,2,4.222222222,2.111111111,3.454545455,0.134444444,ns,2.111111111,0.24619883,ns,,
2019,Preston,STD,Genotype,2,0.222222222,0.111111111,0.181818182,0.840277778,ns,0.111111111,6.775,ns,,
2019,Preston,STD,ERROR_WG,4,2.444444444,0.611111111,99,99,ns,0.611111111,0.736868687,ns,,
2019,Preston,STD,COL,8,6.022222222,0.752777778,1.67169294,0.120201487,ns,0.752777778,6.775,ns,,
2019,Preston,STD,ROW,9,4.677777778,0.519753086,1.154215216,0.337346589,ns,0.519753086,0.24619883,ns,,
2019,Preston,STD,ERROR_RXC,72,32.42222222,0.450308642,99,99,ns,0.450308642,0.736868687,ns,0.742612065,NoMethod
2019,Preston,V1,,2,0.888888889,0.444444444,0.727272727,0.537777778,ns,0.444444444,2.169444444,ns,,
2019,Preston,V1,Genotype,2,4.222222222,2.111111111,3.454545455,0.134444444,ns,2.111111111,0.297368421,ns,,
2019,Preston,V1,ERROR_WG,4,2.444444444,0.611111111,99,99,ns,0.611111111,0.623232323,ns,,
2019,Preston,V1,COL,8,5.022222222,0.627777778,1.648298217,0.126354947,ns,0.627777778,0.297368421,ns,,
2019,Preston,V1,ROW,9,8.677777778,0.964197531,2.531604538,0.013932987,*,0.964197531,2.169444444,ns,,
2019,Preston,V1,ERROR_RXC,72,27.42222222,0.380864198,99,99,ns,0.380864198,0.623232323,ns,0.817536365,NoMethod
2019,Preston,V2,While_Plot,2,0.888888889,0.444444444,1.6,0.308641975,ns,0.444444444,6.344444444,ns,,
2019,Preston,V2,Genotype,2,2.888888889,1.444444444,5.2,0.077160494,ns,1.444444444,1.028846154,ns,,
2019,Preston,V2,ERROR_WG,4,1.111111111,0.277777778,99,99,ns,0.277777778,1.361111111,ns,,
2019,Preston,V2,COL,8,11.88888889,1.486111111,3.930612245,0.000670523,**,1.486111111,1.028846154,ns,,
2019,Preston,V2,ROW,9,25.37777778,2.819753086,7.457959184,1.29E-07,**,2.819753086,6.344444444,ns,,
2019,Preston,V2,ERROR_RXC,72,27.22222222,0.37808642,99,99,ns,0.37808642,1.361111111,ns,0.428695721,NoMethod
2019,Preston,V3,While_Plot,2,0.222222222,0.111111111,1,0.444444444,ns,0.111111111,19.15555556,ns,,
2019,Preston,V3,Genotype,2,1.555555556,0.777777778,7,0.049382716,*,0.777777778,1.139285714,ns,,
2019,Preston,V3,ERROR_WG,4,0.444444444,0.111111111,99,99,ns,0.111111111,2.030555556,ns,,
2019,Preston,V3,COL,8,7.088888889,0.886111111,3.92749658,0.00067535,**,0.886111111,1.139285714,ns,,
2019,Preston,V3,ROW,9,19.15555556,2.128395062,9.433652531,2.49E-09,**,2.128395062,19.15555556,ns,,
2019,Preston,V3,ERROR_RXC,72,16.24444444,0.225617284,99,99,ns,0.225617284,2.030555556,ns,0.258757053,NoMethod
2019,Preston,W1,While_Plot,2,3.555555556,1.777777778,0.268907563,0.777009602,ns,1.777777778,6.469444444,ns,,
2019,Preston,W1,Genotype,2,4.222222222,2.111111111,0.319327731,0.743593783,ns,2.111111111,0.684210526,ns,,
2019,Preston,W1,ERROR_WG,4,26.44444444,6.611111111,99,99,ns,6.611111111,0.169934641,ns,,
2019,Preston,W1,COL,8,11.55555556,1.444444444,1.285714286,0.264608916,ns,1.444444444,0.684210526,ns,,
2019,Preston,W1,ROW,9,103.5111111,11.50123457,10.23736264,5.55E-10,**,11.50123457,6.469444444,ns,,
2019,Preston,W1,ERROR_RXC,72,80.88888889,1.12345679,99,99,ns,1.12345679,0.169934641,ns,0.999626878,NoMethod
2019,Preston,W2,While_Plot,2,6.222222222,3.111111111,3.294117647,0.142716049,ns,3.111111111,1.64484127,ns,,
2019,Preston,W2,Genotype,2,10.88888889,5.444444444,5.764705882,0.066345271,ns,5.444444444,0.219387755,ns,,
2019,Preston,W2,ERROR_WG,4,3.777777778,0.944444444,99,99,ns,0.944444444,1.006535948,ns,,
2019,Preston,W2,COL,8,9.555555556,1.194444444,1.256493506,0.279866828,ns,1.194444444,0.219387755,ns,,
2019,Preston,W2,ROW,9,46.05555556,5.117283951,5.383116883,1.28E-05,**,5.117283951,1.64484127,ns,,
2019,Preston,W2,ERROR_RXC,72,68.44444444,0.950617284,99,99,ns,0.950617284,1.006535948,ns,0.583244799,NoMethod
2019,Preston,W3,While_Plot,2,3.555555556,1.777777778,0.680851064,0.556563366,ns,1.777777778,1.441666667,ns,,
2019,Preston,W3,Genotype,2,9.555555556,4.777777778,1.829787234,0.272716049,ns,4.777777778,0.669767442,ns,,
2019,Preston,W3,ERROR_WG,4,10.44444444,2.611111111,99,99,ns,2.611111111,0.402836879,ns,,
2019,Preston,W3,COL,8,25.6,3.2,3.042253521,0.005282478,**,3.2,0.669767442,ns,,
2019,Preston,W3,ROW,9,23.06666667,2.562962963,2.436619718,0.017655121,*,2.562962963,1.441666667,ns,,
2019,Preston,W3,ERROR_RXC,72,75.73333333,1.051851852,99,99,ns,1.051851852,0.402836879,ns,0.948770762,NoMethod
