"Year","Location","Type","Parameter","Df","Sum.Sq","Mean.Sq","F.value","Pr..F.","Significance","errorrxc_ms","rxc_f","rxc_significance","fprob","method"
2019,"Preston","STD","Whole_Plot",2,4.22222222222222,2.11111111111111,3.45454545454546,0.134444444444444,"ns",2.11111111111111,0.246198830409357,"ns","",""
2019,"Preston","STD","Genotype",2,0.222222222222223,0.111111111111112,0.181818181818183,0.840277777777777,"ns",0.111111111111111,6.77500000000001,"ns","",""
2019,"Preston","STD","ERROR_WG",4,2.44444444444444,0.61111111111111,99,99,"ns",0.61111111111111,0.73686868686869,"ns","",""
2019,"Preston","STD","COL",8,6.02222222222225,0.752777777777782,1.67169294037012,0.120201486834053,"ns",0.752777777777781,6.77500000000001,"ns","",""
2019,"Preston","STD","ROW",9,4.67777777777779,0.519753086419754,1.1542152159013,0.337346588542553,"ns",0.519753086419754,0.246198830409357,"ns","",""
2019,"Preston","STD","ERROR_RXC",72,32.4222222222223,0.450308641975309,99,99,"ns",0.45030864197531,0.73686868686869,"ns","0.75017905989086","Unnecessary"
2019,"Preston","V1","",2,0.888888888888888,0.444444444444444,0.727272727272726,0.537777777777778,"ns",0.444444444444444,2.16944444444445,"ns","",""
2019,"Preston","V1","Genotype",2,4.22222222222223,2.11111111111111,3.45454545454546,0.134444444444444,"ns",2.11111111111112,0.297368421052633,"ns","",""
2019,"Preston","V1","ERROR_WG",4,2.44444444444445,0.611111111111111,99,99,"ns",0.611111111111112,0.623232323232324,"ns","",""
2019,"Preston","V1","COL",8,5.02222222222225,0.627777777777781,1.64829821717991,0.126354947280192,"ns",0.627777777777781,0.297368421052633,"ns","",""
2019,"Preston","V1","ROW",9,8.67777777777778,0.964197530864197,2.53160453808752,0.0139329873778865,"*",0.964197530864198,2.16944444444445,"ns","",""
2019,"Preston","V1","ERROR_RXC",72,27.4222222222223,0.380864197530865,99,99,"ns",0.380864197530865,0.623232323232324,"ns","0.831528247230007","Method 1"
2019,"Preston","V2","While_Plot",2,0.88888888888889,0.444444444444445,1.6,0.308641975308641,"ns",0.444444444444445,6.34444444444444,"ns","",""
2019,"Preston","V2","Genotype",2,2.88888888888889,1.44444444444444,5.2,0.0771604938271605,"ns",1.44444444444445,1.02884615384615,"ns","",""
2019,"Preston","V2","ERROR_WG",4,1.11111111111111,0.277777777777778,99,99,"ns",0.277777777777778,1.36111111111111,"ns","",""
2019,"Preston","V2","COL",8,11.8888888888889,1.48611111111111,3.93061224489797,0.000670522763354997,"**",1.48611111111111,1.02884615384615,"ns","",""
2019,"Preston","V2","ROW",9,25.3777777777778,2.81975308641976,7.45795918367349,1.29384418179335e-07,"**",2.81975308641976,6.34444444444444,"ns","",""
2019,"Preston","V2","ERROR_RXC",72,27.2222222222222,0.378086419753086,99,99,"ns",0.378086419753086,1.36111111111111,"ns","1.64944553058926","Method 1"
2019,"Preston","V3","While_Plot",2,0.222222222222222,0.111111111111111,0.99999999999998,0.44444444444445,"ns",0.111111111111111,19.1555555555556,"ns","",""
2019,"Preston","V3","Genotype",2,1.55555555555555,0.777777777777777,6.99999999999986,0.0493827160493843,"*",0.777777777777775,1.13928571428572,"ns","",""
2019,"Preston","V3","ERROR_WG",4,0.444444444444453,0.111111111111113,99,99,"ns",0.111111111111113,2.03055555555552,"ns","",""
2019,"Preston","V3","COL",8,7.08888888888887,0.886111111111109,3.92749658002733,0.000675349758021415,"**",0.886111111111109,1.13928571428572,"ns","",""
2019,"Preston","V3","ROW",9,19.1555555555556,2.1283950617284,9.43365253077972,2.49013465403181e-09,"**",2.1283950617284,19.1555555555556,"ns","",""
2019,"Preston","V3","ERROR_RXC",72,16.2444444444445,0.225617283950618,99,99,"ns",0.225617283950618,2.03055555555552,"ns","1.36448924289592","Method 1"
2019,"Preston","W1","While_Plot",2,3.55555555555556,1.77777777777778,0.26890756302521,0.777009602194787,"ns",1.77777777777778,6.46944444444443,"ns","",""
2019,"Preston","W1","Genotype",2,4.22222222222222,2.11111111111111,0.319327731092437,0.743593782818736,"ns",2.11111111111111,0.684210526315792,"ns","",""
2019,"Preston","W1","ERROR_WG",4,26.4444444444444,6.61111111111111,99,99,"ns",6.6111111111111,0.169934640522876,"ns","",""
2019,"Preston","W1","COL",8,11.5555555555556,1.44444444444445,1.28571428571429,0.26460891623572,"ns",1.44444444444445,0.684210526315792,"ns","",""
2019,"Preston","W1","ROW",9,103.511111111111,11.5012345679012,10.2373626373626,5.55301804538999e-10,"**",11.5012345679012,6.46944444444443,"ns","",""
2019,"Preston","W1","ERROR_RXC",72,80.8888888888889,1.12345679012346,99,99,"ns",1.12345679012346,0.169934640522876,"ns","0.999884101351394","Method 1"
2019,"Preston","W2","While_Plot",2,6.22222222222222,3.11111111111111,3.29411764705882,0.142716049382716,"ns",3.11111111111111,1.64484126984127,"ns","",""
2019,"Preston","W2","Genotype",2,10.8888888888889,5.44444444444444,5.76470588235294,0.0663452708907255,"ns",5.44444444444445,0.219387755102042,"ns","",""
2019,"Preston","W2","ERROR_WG",4,3.77777777777778,0.944444444444445,99,99,"ns",0.944444444444445,1.00653594771242,"ns","",""
2019,"Preston","W2","COL",8,9.55555555555562,1.19444444444445,1.25649350649352,0.279866828165836,"ns",1.19444444444445,0.219387755102042,"ns","",""
2019,"Preston","W2","ROW",9,46.0555555555556,5.11728395061729,5.3831168831169,1.27806496657001e-05,"**",5.11728395061729,1.64484126984127,"ns","",""
2019,"Preston","W2","ERROR_RXC",72,68.4444444444443,0.950617283950615,99,99,"ns",0.950617283950615,1.00653594771242,"ns","1.97080578285382","Method 1"
2019,"Preston","W3","While_Plot",2,3.55555555555556,1.77777777777778,0.680851063829788,0.556563366087175,"ns",1.77777777777778,1.44166666666667,"ns","",""
2019,"Preston","W3","Genotype",2,9.55555555555556,4.77777777777778,1.82978723404256,0.272716049382716,"ns",4.77777777777778,0.669767441860465,"ns","",""
2019,"Preston","W3","ERROR_WG",4,10.4444444444444,2.61111111111111,99,99,"ns",2.6111111111111,0.402836879432626,"ns","",""
2019,"Preston","W3","COL",8,25.6,3.2,3.04225352112677,0.00528247757529077,"**",3.2,0.669767441860465,"ns","",""
2019,"Preston","W3","ROW",9,23.0666666666667,2.56296296296297,2.43661971830986,0.0176551214909573,"*",2.56296296296297,1.44166666666667,"ns","",""
2019,"Preston","W3","ERROR_RXC",72,75.7333333333333,1.05185185185185,99,99,"ns",1.05185185185185,0.402836879432626,"ns","0.954733715129327","Method 1"
