Year,Location,Type,Parameter,Df,Sum Sq,Mean Sq,F value,Pr(>F)
2019,Preston,STD,ERROR_RXC,72,32.4222222222223,0.450308641975309,NA,NA
2019,Preston,STD,ROW,9,4.67777777777779,0.519753086419754,1.1542152159013,0.337346588542553
2019,Preston,STD,COL,8,6.02222222222225,0.752777777777782,1.67169294037012,0.120201486834053
2019,Preston,V1,ERROR_RXC,72,27.4222222222223,0.380864197530865,NA,NA
2019,Preston,V1,ROW,9,8.67777777777778,0.964197530864197,2.53160453808752,0.0139329873778865
2019,Preston,V1,COL,8,5.02222222222225,0.627777777777781,1.64829821717991,0.126354947280192
2019,Preston,V2,ERROR_RXC,72,27.2222222222222,0.378086419753086,NA,NA
2019,Preston,V2,ROW,9,25.3777777777778,2.81975308641976,7.45795918367349,1.29384418179335e-07
2019,Preston,V2,COL,8,11.8888888888889,1.48611111111111,3.93061224489797,0.000670522763354997
2019,Preston,V3,ERROR_RXC,72,16.2444444444445,0.225617283950618,NA,NA
2019,Preston,V3,ROW,9,19.1555555555556,2.1283950617284,9.43365253077972,2.49013465403181e-09
2019,Preston,V3,COL,8,7.08888888888887,0.886111111111109,3.92749658002733,0.000675349758021415
2019,Preston,W1,ERROR_RXC,72,80.8888888888889,1.12345679012346,NA,NA
2019,Preston,W1,ROW,9,103.511111111111,11.5012345679012,10.2373626373626,5.55301804538999e-10
2019,Preston,W1,COL,8,11.5555555555556,1.44444444444445,1.28571428571429,0.26460891623572
2019,Preston,W2,ERROR_RXC,72,68.4444444444443,0.950617283950615,NA,NA
2019,Preston,W2,ROW,9,46.0555555555556,5.11728395061729,5.3831168831169,1.27806496657001e-05
2019,Preston,W2,COL,8,9.55555555555562,1.19444444444445,1.25649350649352,0.279866828165836
2019,Preston,W3,ERROR_RXC,72,75.7333333333333,1.05185185185185,NA,NA
2019,Preston,W3,ROW,9,23.0666666666667,2.56296296296297,2.43661971830986,0.0176551214909573
2019,Preston,W3,COL,8,25.6,3.2,3.04225352112677,0.00528247757529077
